number of items,linear search,binary search,recursive search,creation time,sort time
124000,35546,176,154,3187900,8382800
125000,35375,176,343,3219000,8344600
126000,35490,174,159,3243500,8398700
127000,42498,172,155,3214300,8291400
128000,39085,197,337,3156300,8005500
129000,42741,177,175,3166000,8301200
130000,40503,185,369,3630600,8636700
131000,56592,179,164,3390300,8920600
132000,38276,178,173,3546800,8337900
133000,39301,165,157,3299500,8023100
134000,31399,164,153,3202900,8015500
135000,31878,161,339,3617400,8391400
136000,38254,215,169,3455000,8306600
137000,35720,174,156,3427700,8695100
138000,34503,353,149,3361800,8782400
139000,36440,171,150,3438100,8841100
140000,39511,175,152,3379700,9237900
141000,37116,165,154,3425000,9144000
142000,38705,167,148,3368500,8647400
143000,35389,165,155,3255200,8696000
144000,36984,226,153,3374800,8807300
145000,43030,188,157,3277300,9003500
146000,38249,175,152,3298700,9440500
147000,35725,167,160,3411900,8861100
148000,43609,192,171,3323000,9143200
149000,34033,225,149,3679400,9520500
150000,39585,173,153,3640200,10243300
151000,46789,176,153,3463900,9449100
152000,41661,175,159,3481300,9826800
153000,49391,380,163,3725300,9586200
154000,44595,180,159,4389000,10047100
155000,43093,181,163,5793700,10124300
156000,41747,171,157,3757500,9774400
157000,46438,178,161,3673800,9781000
158000,41508,174,164,3584100,10202800
159000,43845,171,156,3672600,9935500
160000,52431,189,168,3739000,10174600
161000,41915,181,161,3874700,10789100
162000,46200,251,166,3962000,10761500
163000,45343,184,164,4361600,10671700
164000,46398,176,165,3957800,10193000
165000,43526,171,156,3747100,9794900
166000,57757,249,161,3676700,10246000
167000,42178,182,155,3706100,10583600
168000,40383,176,163,3915300,10735400
169000,41526,181,152,3718200,10434400
170000,47004,167,148,3884100,10205300
171000,43516,181,164,4240700,10228300
172000,46763,176,155,3889000,10240900
173000,43141,184,155,3914600,10991800
174000,45442,238,160,4066900,10799500
175000,47611,207,166,4208400,10772300
176000,43983,241,155,4251300,11517400
177000,68987,497,181,5681500,12366500
178000,50155,193,173,5697600,14575800
179000,75742,232,197,5746300,13229200
180000,47684,198,175,4539100,13518900
181000,58072,269,169,5881300,14197000
182000,53858,210,181,4344200,14327500
183000,57314,195,173,7025500,13263400
184000,69722,349,372,4387100,12938600
185000,60641,197,185,5405000,14299700
186000,75509,198,183,5008400,13027100
187000,54689,196,168,4779000,13710100
188000,54199,337,163,4419400,12023300
189000,52795,173,156,4820700,12113600
190000,50251,373,149,4549800,12565400
191000,46840,309,155,4595400,12305500
192000,52754,183,155,4495300,12237700
193000,57467,200,172,4392100,11910000
194000,52916,263,161,4310900,12132200
195000,57103,252,326,4483400,12732400
196000,57359,205,181,4807200,12645300
197000,49004,185,167,4846400,12794500
198000,58903,379,228,4867900,12671400
199000,53651,173,155,4795300,13064500
200000,66753,263,181,4656700,13926000
201000,62047,190,177,4786700,13427100
202000,73237,562,175,4797000,13397700
203000,71699,236,190,4886500,15228400
204000,84448,249,185,5405300,14736200
205000,120033,299,209,6401300,15898000
206000,111623,329,203,5159200,18325600
207000,102981,330,202,6797700,17207900
208000,65155,218,179,6029000,20426700
209000,96225,268,212,6099100,16722000
210000,87721,281,204,5595900,20219200
211000,110471,315,243,7895600,15883300
212000,63199,205,310,6735800,18851300
213000,82135,403,206,6312800,16391700
214000,103192,456,191,5307700,16917700
215000,97782,238,188,5177200,16288200
216000,108005,255,212,5233100,16137200
217000,101134,252,193,6916500,16095500
218000,90198,265,367,5342400,17316500
219000,80556,344,180,5335700,16977900
220000,58717,195,175,6486200,16463100
221000,66351,198,170,7379500,16241100
222000,86428,229,190,5913900,16783400
223000,110063,270,213,5373800,16608300
224000,124445,573,211,5380200,18543900
225000,76732,257,174,6376800,19246200
226000,66467,205,167,6588400,19887600
227000,163670,428,297,6726300,22660400
228000,91294,265,229,7416200,23505700
229000,84627,233,2605,6212500,17303900
230000,80675,200,177,6594300,17191100
231000,73723,205,169,6260100,19064100
232000,80274,200,173,6524400,17619100
233000,64693,264,172,6317600,17062100
234000,66847,198,183,5581800,16439600
235000,83837,562,182,5884300,20502200
236000,64441,194,161,5738700,16367600
237000,110066,365,245,5848700,17677500
238000,87605,249,191,7531500,19127600
239000,83110,370,187,8052200,17619100
240000,76130,343,230,6096700,17463400
241000,79093,218,187,6463300,18794600
242000,78311,207,179,5836600,17922900
243000,76811,403,189,6378300,18525700
244000,89838,371,196,6583800,18816500
245000,98178,277,210,6671700,22626800
246000,77624,193,178,6490200,18052800
247000,67063,192,177,6270600,17474900
248000,74037,184,169,5926700,16674600
249000,68639,253,172,5864900,17816600
250000,67536,369,163,6222300,16243200
251000,83967,208,338,6144200,17543400
252000,76096,296,188,6654500,21503600
253000,85673,224,195,7410500,24628300
254000,81197,248,203,7145900,18875200
255000,80421,214,183,6982600,19630700
256000,105835,283,222,8974700,20654200
257000,112360,273,233,6692000,19303100
258000,88082,665,182,6719200,22168500
259000,87889,226,198,7665300,27555100
260000,94800,215,187,6400800,28492400
261000,107522,535,201,9233700,25737100
262000,86292,234,187,7005100,19563400
263000,80398,237,204,6766500,20876800
264000,82283,203,373,6837400,18910900
265000,85874,197,344,7487100,20935400
266000,336767,273,206,9972600,20733800
267000,139194,317,231,26852800,21469200
268000,82591,287,190,13784300,45099000
269000,86891,206,188,6925900,20701900
270000,91315,400,179,7585300,20778200
271000,97585,206,182,7469300,20715500
272000,93714,206,182,7884400,21446800
273000,82800,202,186,7897200,23260800
274000,81088,196,181,6751800,20494700
275000,83202,201,170,6613500,19533500
276000,81877,263,173,6957100,20647700
277000,84265,199,172,6993700,18551500
278000,78766,187,169,6592000,18352700
279000,85643,203,184,6601200,18537900
280000,92909,209,191,7867500,21259800
281000,72470,200,181,7729800,22014000
282000,73883,186,165,6977900,18567700
283000,71206,196,351,6946600,19385300
284000,78844,204,169,6683600,18027900
285000,80115,186,353,9389600,19109500
286000,84282,181,170,6577700,19228600
287000,75760,188,173,6920900,18827400
288000,72437,182,159,6876900,18913500
289000,76527,183,173,6763700,18765500
290000,87420,312,176,7418800,21566600
291000,96942,204,358,6813700,19687900
292000,76606,182,167,7939200,19118500
293000,72892,191,163,7114700,19326600
294000,83432,191,176,8683000,19759400
295000,78711,199,171,7045400,19264900
296000,80674,200,162,7130200,19446000
297000,84223,186,176,7024900,19222900
298000,78961,192,173,6850500,19662000
299000,72900,192,169,7005500,19611700
300000,83279,195,169,7057100,19915300
301000,88370,254,201,7000900,19401300
302000,80153,199,177,6891600,20243500
303000,78279,198,168,7462500,20138600
304000,112771,226,188,9571000,20885400
305000,78500,190,174,7181900,20137400
306000,88143,262,175,7279100,19886000
307000,88357,198,180,7356800,20663600
308000,95132,193,175,7024300,20031100
309000,89901,264,175,7102000,21226000
310000,79197,193,173,7462300,20525000
311000,98440,211,175,7436100,22236000
312000,84001,202,172,8622100,21884600
313000,83473,378,177,7137500,20711000
314000,84175,249,169,7247000,20150700
315000,84002,192,338,7277000,21111900
316000,81286,259,167,7656000,20573100
317000,108068,207,351,7485900,23408500
318000,115464,217,194,9389900,23242200
319000,91174,204,181,9329300,21990600
320000,87791,201,173,7286600,21777700
321000,83564,298,181,7671900,22452000
322000,93107,194,170,8002000,21986000
323000,81441,196,178,10085000,23329800
324000,94394,386,177,7790700,21521400
325000,85506,374,169,8125200,21770100
326000,86803,198,200,7602700,21638700
327000,92331,190,185,7762400,21887200
328000,97028,229,185,7775900,21547300
329000,88839,197,178,7497000,22105400
330000,104643,262,178,7898200,21711200
331000,90169,183,169,7603300,21902000
332000,82955,192,359,7668900,22406200
333000,90460,198,168,7949600,22418900
334000,90148,261,174,7722500,22793000
335000,98408,191,183,8137100,22401300
336000,102323,221,191,8043700,22103400
337000,111155,214,181,8463200,22982600
338000,99344,400,176,8188200,23494700
339000,92628,194,202,7837200,22706200
340000,101706,218,186,8667300,23830900
341000,119883,245,196,8576400,24611900
342000,107186,235,187,10365100,23947800
343000,85445,191,170,8491500,23654000
344000,90991,201,171,8141800,22668600
345000,94606,202,179,8270500,22867900
346000,98893,194,177,8071200,23284900
347000,95626,213,177,8172800,23084000
348000,92585,435,170,8130800,23112800
349000,95886,193,181,8047300,23612600
350000,93214,215,190,8898300,24380000
351000,102069,192,172,8531200,24075300
352000,101252,278,171,8629600,25275700
353000,92733,199,176,8050000,24037600
354000,89424,207,183,7898600,23540600
355000,103448,214,178,8319400,23443800
356000,93228,195,173,8057900,23141700
357000,112630,239,182,8597900,30488100
358000,126918,260,185,9225700,26129600
359000,109699,233,180,9320200,25945300
360000,96838,212,185,10744100,25805000
361000,101402,255,187,8579400,24680800
362000,102720,195,176,8487200,24386700
363000,98717,224,175,8492400,24057200
364000,89559,189,166,8666700,24129600
365000,100545,215,172,8737800,24653400
366000,115998,222,371,8778300,23901500
367000,152594,275,224,10280800,28878200
368000,141761,304,184,10331800,27147000
369000,125484,248,197,9704800,29865500
370000,143232,252,200,9457300,29150800
371000,192398,362,237,9859500,28395800
372000,123576,214,374,9510500,29002600
373000,104574,196,365,9185900,25603900
374000,115833,210,175,8940900,25118400
375000,93632,196,174,8691900,24501200
376000,98207,202,183,8677200,24440000
377000,104593,189,182,8559000,24901800
378000,111391,220,193,11091200,25951900
379000,110727,259,173,9080000,25767900
380000,113611,190,178,8982800,25890800
381000,99421,234,186,9019200,25900700
382000,133436,314,206,9036600,26091100
383000,106507,203,176,9804600,27404900
384000,111826,212,174,9011800,26984100
385000,109040,199,181,9519000,27228900
386000,105457,195,180,9204100,25891400
387000,130906,247,193,9466500,26296300
388000,133882,416,506,10405700,71095300
389000,136411,442,192,10901200,72315000
390000,109675,206,179,9605800,27102800
391000,115054,210,183,9247400,26826000
392000,105395,200,171,9316700,26269700
393000,101941,207,179,9054800,26323400
394000,107878,264,185,9081300,26822700
395000,89649,256,175,9385600,26838900
396000,106523,202,249,11501300,26563600
397000,117881,208,183,9437800,26411000
398000,103488,323,181,10597900,26438400
399000,114966,206,176,9309600,26794200
400000,168765,269,249,9318500,28476600
401000,119921,205,190,9888100,28420100
402000,111436,398,177,9660600,27236100
403000,127592,209,188,9785300,27321900
404000,118663,196,178,9460100,27667200
405000,390868,408,13703,9561600,27937200
406000,119171,273,180,10190800,28724300
407000,107738,253,176,9303800,26605700
408000,168437,324,224,9597500,28396000
409000,117896,268,200,11147900,28726900
410000,134569,218,181,11950900,29230600
411000,106035,218,185,10009900,27911400
412000,123127,260,189,9655400,27898300
413000,113336,198,190,9721900,27877700
414000,119537,200,182,9701800,30553000
415000,126424,192,183,9778800,27752100
416000,110001,203,204,9863100,28529300
417000,123404,208,179,10051700,28193900
418000,125006,207,187,10126900,28599500
419000,129603,217,185,10176900,28827500
420000,117026,203,184,10725900,28953700
421000,114058,221,176,10312800,29140200
422000,126812,212,186,10038700,28767400
423000,129763,199,181,10070600,28333400
424000,118132,277,186,13156900,32069700
425000,108481,264,201,12798600,29469100
426000,104880,210,183,10053400,28352000
427000,111318,203,182,10190200,28466200
428000,116276,279,189,10317500,28855900
429000,119543,191,168,10467600,28742600
430000,109717,203,183,10298200,28950900
431000,115878,273,181,10359300,31284700
432000,114293,455,192,10177000,29353100
433000,124645,206,182,10517600,29272900
434000,121402,198,177,10203700,29477200
435000,111676,200,181,10025600,29543600
436000,120410,206,177,10165600,29304500
437000,130308,210,184,10373500,29280700
438000,122797,204,192,12675400,30209500
439000,121365,267,179,11102300,31111800
440000,153762,365,200,10243000,29914200
441000,118853,215,200,11871600,32207400
442000,184511,326,219,10715000,33019200
443000,147906,250,203,11625100,33931800
444000,315472,462,282,10755800,31176300
445000,124437,280,183,11921400,39272600
446000,125035,232,192,11253900,32908500
447000,124184,270,179,10888400,30527700
448000,141089,209,551,10842400,30391600
449000,132162,209,191,11612400,32771900
450000,129792,211,315,10806700,31011500
451000,140839,213,187,10391100,30315300
452000,135166,202,183,13037000,31824200
453000,173418,448,212,10737900,34994900
454000,173819,499,204,11704200,36114600
455000,220965,594,257,11977800,34283300
456000,146545,224,198,12230000,43559500
457000,139827,197,182,11489900,32448500
458000,129596,228,195,11338400,31683600
459000,128105,202,188,11290900,32768500
460000,205264,339,493,10871100,32543400
461000,195073,350,203,13088200,36988300
462000,241329,328,422,11650000,36859100
463000,186812,770,221,12323400,37209900
464000,191880,285,391,12653300,37329400
465000,372986,366,245,12242700,34321600
466000,142888,210,192,13695800,38280100
467000,139402,216,189,10778600,35231200
468000,128304,429,190,11114400,34176300
469000,140408,267,197,11703200,32463400
470000,127427,207,186,11056300,32814500
471000,127957,210,185,13442500,33791100
472000,136740,214,178,11273700,32242600
473000,140822,226,182,10919500,32136600
474000,141363,212,193,11298100,33309000
475000,135876,222,181,11541900,32323300
476000,230008,542,231,11060600,35325900
477000,230788,500,266,19524800,56814300
478000,146063,382,192,51167300,35866600
479000,138134,210,178,11736600,33525600
480000,125014,256,181,13203000,32849400
481000,146079,204,188,11518300,32651900
482000,134257,349,194,11615300,33139700
483000,142248,208,190,11441000,32905100
484000,131245,199,184,11543200,33629700
485000,152965,215,183,11478300,33069600
486000,190200,278,336,11509000,33182600
487000,129072,189,170,11902400,33876100
488000,135895,202,179,11561600,33586300
489000,130590,208,186,13178600,36653200
490000,129664,207,182,11599500,33291000
491000,151782,225,182,11473800,33875900
492000,157707,226,214,13688700,33745500
493000,140207,211,196,15396900,37068100
494000,190608,405,236,11567100,52971900
495000,155612,199,183,12045100,34520400
496000,144380,202,184,12049200,33178000
497000,156829,228,194,11643200,33990900
498000,133128,203,362,12084900,34683500
499000,149850,239,201,11948700,35901100
500000,154050,306,191,12403600,36572600
501000,161512,247,202,12426800,36810400
502000,162577,249,385,12578700,36629400
503000,181207,274,384,12242800,36530900
504000,169598,263,388,12261000,37497000
505000,167381,262,210,12499000,38775300
506000,232481,304,221,14072700,36728300
507000,172401,255,211,12286500,38645100
508000,160403,264,212,12785000,41661600
509000,219030,291,255,12028900,35840000
510000,171141,259,202,12234400,36169800
511000,159371,222,223,12042300,36097900
512000,177023,261,190,12034300,36533500
513000,185505,327,216,13061500,38239200
514000,180303,292,202,12460000,36669900
515000,173482,258,203,12510800,37616100
516000,165139,264,372,12914200,37083300
517000,172366,257,212,12597100,44091500
518000,153766,293,193,12919100,39075100
519000,200217,350,219,14304200,38059500
520000,205254,364,215,12808700,38409600
521000,145926,245,196,13190600,42586000
522000,159003,241,266,12852500,38474700
523000,162463,248,199,12643900,37328400
524000,152521,244,209,12702200,37826000
525000,180130,223,198,13007700,41512300
526000,162865,226,201,13124600,37701600
527000,173141,239,213,12851000,37868700
528000,171326,230,202,13010800,38284600
529000,188911,284,209,13428100,39285500
530000,202633,289,216,13484500,40060000
531000,147713,211,195,15023200,40165300
532000,158826,287,191,12502700,39519700
533000,168894,224,186,12641800,37230600
534000,167322,304,203,12767500,44271000
535000,173008,260,208,13049700,38683100
536000,185732,287,204,14399300,44434200
537000,211389,306,220,13222600,42515600
538000,250288,385,233,13616900,42666100
539000,194552,475,205,14586000,43073800
540000,150724,211,191,13328700,37634800
541000,169591,223,189,12908200,36857300
542000,173441,225,204,14985700,37835600
543000,144935,216,187,12750600,37772700
544000,148890,270,193,12729100,37186300
545000,153625,232,184,12862400,38311200
546000,149587,411,193,13196300,37713300
547000,160019,209,191,12806100,37984500
548000,143436,208,187,13019400,38117100
549000,164549,216,189,12858100,37711200
550000,203334,509,208,12614800,69795000
551000,191905,358,301,14444400,75134500
552000,141078,219,244,13599700,39298700
553000,144133,277,189,15302900,38800600
554000,162082,267,194,13057600,38432800
555000,155883,210,187,13466000,37920700
556000,169249,224,188,13891500,38826300
557000,153547,212,187,13199200,38184400
558000,182809,221,198,13224200,39369600
559000,146870,435,189,14312200,40270400
560000,152081,216,185,12554800,37824200
561000,157324,225,185,12681500,38615100
562000,168672,219,188,12497000,38432400
563000,164971,229,190,13332200,38420500
564000,156776,213,190,15676300,40598400
565000,165264,228,193,13215500,40046600
566000,153666,339,192,13431100,39722000
567000,148085,415,188,13607900,39176100
568000,190992,232,192,13309100,41157000
569000,153567,221,188,13837600,39201900
570000,169737,278,402,13508700,43835700
571000,173335,227,186,13756000,39808500
572000,157781,216,185,13475100,38965400
573000,173836,234,194,13651800,40497400
574000,164612,215,189,13439300,40023600
575000,165705,214,185,15764100,40311100
576000,185336,246,200,13665900,39981200
577000,159194,227,199,15477100,45191300
578000,169911,211,184,13674300,40923400
579000,164467,217,188,14075500,41264200
580000,159105,217,182,13724800,40569300
581000,166757,216,183,13418800,40478900
582000,158849,226,191,13733300,41821700
583000,169845,224,189,13578000,40004200
584000,150315,211,182,13982100,39962900
585000,182467,221,186,13838500,40986000
586000,176247,220,190,15420300,40146100
587000,166599,211,182,13786400,43531500
588000,152713,396,192,14149300,42150100
589000,180940,420,199,13928000,40738800
590000,242508,321,210,14597900,43857100
591000,157081,220,182,14624200,42442700
592000,192885,233,190,13830900,41932200
593000,153430,218,181,14088900,41203000
594000,176299,229,193,14404400,41800600
595000,186231,341,203,14350800,41760800
596000,239200,296,223,14350000,44130800
597000,229464,284,1651,15887300,43245800
598000,239569,276,687,14296900,42927900
599000,217100,311,716,14510100,44600700
600000,178659,275,1157,14741100,42775500
601000,165118,235,344,13839500,43478000
602000,171598,290,171,14296400,41427800
603000,173670,233,158,13983000,42604700
604000,188571,392,180,14259300,42088600
605000,219789,286,190,15834200,49203200
606000,230255,315,201,15706800,50133600
607000,357086,461,275,16293900,50366100
608000,170040,247,173,17140500,43789700
609000,174335,237,170,14268200,42118300
610000,173336,360,170,14326400,42370900
611000,173707,304,164,14043700,42724900
612000,196428,236,178,14361800,42480100
613000,179144,258,171,14338300,43634400
614000,189537,236,166,14390400,42819900
615000,171472,237,359,14428600,43613700
616000,236537,287,186,14281100,42842000
617000,213235,269,190,15637600,84041700
618000,191820,261,185,17259700,87597700
619000,184783,242,295,16561600,43618100
620000,189180,240,174,14214700,44828700
621000,168817,244,169,14532800,43431300
622000,192343,269,180,14644400,42571200
623000,191899,242,180,14490400,46858800
624000,210013,267,203,14564200,43939200
625000,166200,222,170,15352800,43397200
626000,185743,253,172,14584900,43619400
627000,166805,236,170,14720800,43531800
628000,187337,258,359,14848200,44178800
629000,173969,244,166,15232200,45133300
630000,189411,249,173,16979300,47737800
631000,173712,243,355,15165600,44731200
632000,181004,303,175,14863900,44874100
633000,205873,250,183,15026100,44609700
634000,192278,376,180,15714000,46975000
635000,192708,239,169,15703200,45477700
636000,186533,441,177,15239300,44418200
637000,199170,253,164,14715100,45301100
638000,185850,253,180,15105500,44481600
639000,180912,248,185,14954800,44830700
640000,208548,240,175,14906800,47213000
641000,319331,320,571,16875100,45892400
642000,229674,273,198,16222300,49350100
643000,181029,250,184,15284400,47530700
644000,182971,259,170,14916500,45179900
645000,184249,258,342,15202000,47430700
646000,185941,235,178,15551700,45074500
647000,182135,238,164,15417000,45353500
648000,182732,254,162,15884300,45180400
649000,204996,392,175,15252700,45648000
650000,199785,253,178,15902100,46559600
651000,179910,241,314,14851200,44251800
652000,274506,333,183,17508600,48273400
653000,224222,377,187,16562500,49370300
654000,189973,235,173,17122900,47476300
655000,193299,239,178,15368400,45702400
656000,207219,264,191,14945700,45438100
657000,170296,381,183,16355800,46096300
658000,179558,420,168,16235300,46263000
659000,189510,240,165,16056500,47180100
660000,272236,331,185,16025700,50608700
661000,190295,263,181,16667200,48503000
662000,179680,257,173,17443600,46681900
663000,191878,265,161,15777800,46746700
664000,160986,247,167,15590000,46287600
665000,269497,345,217,15382600,48369300
666000,239010,309,359,18260700,56004100
667000,304096,335,211,17977300,53062700
668000,274039,313,219,18839300,56121200
669000,181866,310,175,16741800,47290900
670000,193260,247,174,15658500,47614000
671000,213263,243,168,17562900,47396000
672000,189409,248,176,15945600,48371800
673000,196490,249,192,15922900,50074400
674000,196507,428,171,15691200,47807500
675000,193364,313,180,15720500,47878000
676000,278894,332,208,15744300,48473400
677000,346326,522,194,40132100,68209000
678000,183296,257,515,26020900,52019600
679000,210010,263,173,16100900,49202100
680000,178718,255,177,17802200,48599500
681000,217882,241,185,16501400,48324300
682000,189770,250,176,15740500,47403100
683000,219547,253,169,15905000,47833800
684000,203912,240,173,17163400,48429400
685000,198218,255,194,16021700,49135000
686000,201017,260,176,16118300,48884400
687000,194377,242,175,16004000,50710600
688000,230581,266,206,16391300,52553600
689000,214213,303,182,18013700,48129900
690000,206205,243,166,16289200,49833200
691000,205117,243,305,16235800,49184700
692000,225645,250,168,16019900,49182600
693000,201353,246,174,16178600,48800400
694000,199672,257,180,16615300,47911100
695000,199599,268,188,16449200,53599900
696000,196548,245,165,16365600,51818500
697000,200157,241,173,16344100,49048600
698000,206867,244,175,18260000,49430500
699000,186138,265,186,17036200,50817800
700000,196110,245,165,16427900,50242500
701000,214348,246,170,16441900,50719900
702000,204663,244,176,16271700,48860700
703000,171888,247,185,16638500,50872300
704000,203208,255,173,16817600,49508300
705000,213977,241,174,16548600,50368200
706000,204958,308,175,17142500,49868000
707000,209415,253,182,18477500,49635800
708000,207888,256,177,16951000,51085300
709000,337673,329,202,17322300,53465300
710000,196267,266,166,17401200,49878700
711000,207912,259,194,16644900,50987500
712000,216574,263,179,16861300,50812300
713000,232127,262,169,16733800,51182600
714000,230345,245,174,16678000,50225200
715000,245482,250,181,16707000,50920400
716000,302930,338,202,18334800,53364500
717000,237700,268,182,18067300,54884200
718000,199693,243,177,17222100,51074200
719000,217994,250,175,17109800,51750200
720000,200383,449,185,16786400,51054900
721000,335078,382,239,16882000,54352300
722000,305365,348,238,19756000,56889300
723000,342342,403,248,18643600,59287000
724000,239056,302,188,18765300,56543400
725000,236995,302,201,19447200,55070000
726000,204575,277,184,17390300,52830900
727000,227980,452,161,17391000,51941000
728000,272823,326,204,17202200,60062500
729000,282568,320,204,18862500,58063500
730000,294797,341,415,19317000,57415500
731000,440574,398,256,19563100,106996500
732000,202510,266,191,47797100,53811900
733000,230761,264,189,17145300,53258600
734000,189899,244,167,19088300,51022300
735000,230301,260,173,16640500,52130500
736000,198852,261,180,16819500,50567200
737000,220953,268,182,17572700,52518500
738000,197779,264,174,17219600,52687900
739000,242107,269,171,16793300,51021700
740000,232400,270,177,17351900,53834700
741000,209707,446,178,17278300,51895000
742000,235890,292,380,17304900,53594600
743000,232196,268,176,19359100,53106700
744000,232663,450,370,17432200,53754100
745000,214262,253,161,17524100,52609700
746000,223074,284,185,17508800,52367400
747000,230933,259,173,17526500,52325300
748000,243355,399,182,17593200,53571700
749000,229246,270,185,17556800,53693200
750000,219472,257,191,18103900,53224300
751000,234941,266,184,17820100,55278900
752000,218151,284,198,20528800,61441000
753000,244728,339,180,20225400,56703900
754000,238116,275,386,18122900,56220000
755000,216218,280,188,17603100,53922300
756000,248819,454,190,17451200,54566000
757000,236752,278,200,17810600,54218000
758000,246670,288,187,17578500,55286100
759000,224513,270,186,17512100,51950600
760000,384244,380,232,17202200,55139600
761000,237959,267,177,20969800,57933000
762000,228092,386,182,17564600,54949700
763000,255490,407,186,17942800,54946500
764000,260213,268,201,17839200,55594100
765000,256405,276,189,18303500,53760900
766000,229594,262,192,18153200,54517500
767000,338651,413,201,18119100,60021500
768000,211874,261,182,19997100,59541000
769000,254492,276,202,17877300,54567900
770000,227547,283,187,19668700,53789200
771000,282036,311,218,18199000,55228900
772000,276589,320,222,20223000,62751300
773000,294890,380,230,20923200,62827500
774000,253422,289,209,19639900,62413900
775000,226312,265,185,18121800,55128500
776000,231068,289,185,18470800,54077800
